date	new_icu_med	new_icu_ci_lwr	new_icu_ci_upr
2020-09-13	109.78509846719498	65.00443104509243	184.41642844150815
2020-09-14	109.09397138655152	64.09920125892423	184.2903469084673
2020-09-15	108.54019863230127	64.87688865033029	179.59212684655222
2020-09-16	107.67028440232535	65.38444022613787	178.74418837660338
2020-09-17	107.065533386683	64.89862940500417	175.23309321568655
2020-09-18	106.63875034163985	64.03857666396465	171.0756088939694
2020-09-19	106.01190987804353	65.5138789758929	169.82302030726547
2020-09-20	105.18611383093962	64.86467511590847	167.4845945189464
2020-09-21	105.03688541577509	65.54521773431364	165.68613965433929
2020-09-22	104.68497361329011	65.75048776945421	161.84397494916462
2020-09-23	103.46877716777533	65.47288323110338	160.12951086974178
2020-09-24	103.1525776955497	65.43589874073096	158.99978717971584
2020-09-25	102.75351880734414	65.40185820944437	154.9342585819113
2020-09-26	102.49983663738831	66.40481398499034	154.72489159065992
2020-09-27	102.1640525711254	66.51481685339756	151.6014584621038
2020-09-28	102.09804511143922	66.97825345605223	147.64966762388104
2020-09-29	101.78598941233564	67.83558804287863	147.12830319780448
2020-09-30	101.80203847972841	68.44460903608072	144.98466928052406
2020-10-01	102.24244742609136	69.26353061305218	143.12750870584253
2020-10-02	102.20227731944658	69.89561453757868	141.82952913242917
2020-10-03	102.32816038574438	71.94476271367432	138.22774526725175
2020-10-04	102.74088501409366	73.42090132465613	137.7525950564606
2020-10-05	103.3607763199937	74.60746935702134	137.21902502110063
2020-10-06	104.13961441487439	76.0849311090911	136.47818629895056
2020-10-07	104.86308114696993	78.6325785512361	136.63418242877066
2020-10-08	105.87416806939524	81.18383010562039	136.41058634727446
2020-10-09	107.03661638818801	82.56275071158748	135.48973744344823
2020-10-10	108.45854026834422	84.20991221090289	135.77121310913532
2020-10-11	109.77025166730829	87.0657716971865	135.86682738237388
2020-10-12	111.85738998153039	89.24254529405732	137.40625173699692
2020-10-13	114.47007110033007	92.24768231876817	139.61398763191787
2020-10-14	116.86416877742701	95.38937925274384	141.71051330570955
2020-10-15	119.84087901070009	99.3405496451413	143.6182471252649
2020-10-16	123.73410070283512	103.67955754383172	146.18528545779074
2020-10-17	128.18703964504886	107.49265781920569	150.01961276973256
2020-10-18	133.13570351138736	113.21766362262598	155.06072484826294
2020-10-19	139.3588471846838	119.08319207396481	161.0009741191795
2020-10-20	146.50609382268271	126.15167488031577	168.94653011976845
2020-10-21	155.59061227357466	134.7439903252398	179.2037380343431
2020-10-22	166.73475014771074	145.04188979081252	191.8342122593519
2020-10-23	181.10438118114138	158.7524246263559	206.056433858003
2020-10-24	199.822731812173	177.62358736696788	225.51502316171084
2020-10-25	221.07937074613548	199.1608925633671	244.96577588553072
2020-10-26	242.32989353135625	220.4065229292251	265.7926228563242
2020-10-27	265.5597284427539	243.43352675699578	289.75887776423224
2020-10-28	289.14221319814465	265.4807354288244	314.5434759367077
2020-10-29	313.83727128688025	288.6100475622602	341.13975105649683
2020-10-30	336.71883981640724	310.2641480870398	365.2354201015867
2020-10-31	358.65412867826393	330.2683439218615	388.96983941828444
2020-11-01	382.58132618560745	352.4220039236924	413.94868705031513
2020-11-02	408.6508548277479	377.42986870264434	442.76397762706887
2020-11-03	426.5378446956346	394.6413045873478	460.4954158164305
2020-11-04	435.1864224821258	401.60066336930396	471.39487505374274
2020-11-05	434.64469273856815	401.25678288353043	470.2175304834792
2020-11-06	431.4546959268753	397.8079346996837	467.30179281899296
2020-11-07	428.76329914046715	394.4673720950401	464.4249071658055
2020-11-08	428.5705074899806	394.96812552310297	464.3907497595727
2020-11-09	431.46414647340174	395.0892238116048	465.67392699399875
2020-11-10	433.7835246113724	399.69738588034807	470.00427235166455
2020-11-11	437.96837727755576	403.5079271264496	475.2168176460534
2020-11-12	443.9823402121935	407.5662870363995	480.3283615122401
2020-11-13	449.50685846715203	413.6768318388587	486.62396131421644
2020-11-14	450.97927317713334	414.6543050926451	490.23403377976507
2020-11-15	454.97480092080997	416.89664783649863	492.4142321069019
2020-11-16	457.97987144154104	421.2461703705757	496.99486156450183
2020-11-17	460.22921889547814	424.32514182173594	499.1278850914884
2020-11-18	459.54959734890963	423.4479508620247	498.5802657028064
2020-11-19	456.75071248224106	419.5720843222926	495.99098134253074
2020-11-20	456.51232210529867	418.7257017167062	494.496576055526
2020-11-21	459.5778134856614	422.78850509303925	498.88908536803507
2020-11-22	465.86579266666286	428.0261461676318	506.98123525604666
2020-11-23	468.69555374909794	430.50102166905197	507.99129803495396
2020-11-24	468.82264095666574	431.3839265815362	510.83256782660345
2020-11-25	470.18890494909454	432.06804522796944	509.6778258055721
2020-11-26	472.80883971008717	435.2248552500346	513.2086409216328
2020-11-27	474.35365321855494	436.68415021374676	514.2557140501358
2020-11-28	474.48316584349345	436.1420648953285	516.1027100955262
2020-11-29	473.4880755534854	433.7100629776824	514.3672230927632
2020-11-30	473.7886883638871	435.1742313467569	515.8254188214108
2020-12-01	475.50653768184713	436.1969418695563	516.3370971429409
2020-12-02	482.0743586038979	443.972111762346	522.2901362026797
2020-12-03	489.83301348151963	450.7151601675398	532.9397472368697
2020-12-04	501.0861207155765	460.4477934527138	546.0466326669606
2020-12-05	515.0140748219752	474.24423929649714	559.896498554357
2020-12-06	530.0435489311476	488.2018071663515	575.1613190519286
2020-12-07	543.3760096137853	501.44251087059666	588.4493082849275
2020-12-08	553.1106008319375	511.2525451818465	600.5100432886913
2020-12-09	559.9647027190579	515.6402450556723	606.8557439461008
2020-12-10	572.2698972993171	528.7540434940939	619.2733855715376
2020-12-11	586.2272362121955	542.2437596772518	633.7437769186939
2020-12-12	599.1872687466837	553.9660156068547	647.4360690622133
2020-12-13	613.5241142679706	567.713110320987	664.1331087682383
2020-12-14	626.624357419422	579.03193109903	678.4377085723369
2020-12-15	632.2137594801944	582.3259650803344	683.8214608217937
2020-12-16	632.275514909114	583.2458068873354	683.0372183693183
2020-12-17	628.375700810024	580.4390400933797	678.50158622582
2020-12-18	632.4020887194051	585.2899125109263	681.9371295297133
2020-12-19	644.2970979613717	594.7285241250669	696.7482763661762
2020-12-20	664.6458971465936	615.0930249637099	716.6497496099009
2020-12-21	680.8888412845674	628.2163525077199	738.0533375450206
2020-12-22	684.5108341985008	633.5934437053829	738.5595918571595
2020-12-23	689.5965511684785	638.9070573323809	743.5804432462722
2020-12-24	701.5944671221328	647.8224201526355	756.567205957157
2020-12-25	710.7011276649879	659.1874372260351	766.1099232152059
2020-12-26	718.1666762137695	666.603706997956	775.3356044727959
2020-12-27	710.5818822706501	657.5409336676772	767.9945824245613
2020-12-28	702.3518913640977	650.3315108281579	755.6453219990656
2020-12-29	691.9342222951416	637.763536738741	747.1247888214828
2020-12-30	680.9906213104478	629.2145259614008	735.2497759509105
2020-12-31	677.5915565985226	624.7072249215081	732.3722152105343
2021-01-01	682.7057416201942	630.3193439893632	739.3138326886288
2021-01-02	694.7133715789071	640.1351450608107	753.8741549870272
2021-01-03	683.4419626652762	632.343692128121	740.9551848745256
2021-01-04	654.3796569011188	602.0931491593344	710.861743633911
2021-01-05	621.5704234581925	572.3391905117261	673.509181673638
2021-01-06	596.6937641101937	547.0618374784679	646.4675093025152
2021-01-07	583.8790726995876	537.625015189951	632.7604008422519
2021-01-08	577.157643268517	531.3112193601986	627.7061138539837
2021-01-09	567.4919010097937	522.2240223894281	616.8788189866475
2021-01-10	560.3278304835635	516.7691656578734	608.3544138897037
2021-01-11	557.7865703904479	512.7971976530458	603.4174178490539
2021-01-12	553.4942754585666	508.8769863467816	601.9866078617121
2021-01-13	549.1231736706865	506.3043844691189	596.4608442061977
2021-01-14	546.2721184203584	499.83464565189746	592.7373454595216
2021-01-15	542.5769103644545	499.5107060438754	588.9828334468419
2021-01-16	541.9094909157379	498.87717077550855	587.1133182599209
2021-01-17	543.1306720397588	500.53298579027773	589.5457383892867
2021-01-18	541.3863994679972	498.52859987787343	588.3235485602125
2021-01-19	527.9213824338387	486.4426669090153	573.7076068352368
2021-01-20	514.6978418831519	473.78064381684356	557.627829601991
2021-01-21	507.49113566938644	466.978718937569	550.214128392745
2021-01-22	501.54198462530394	462.09924468976976	545.419264028951
2021-01-23	496.1432295582616	455.41891325078694	538.8796129568977
2021-01-24	495.9977387441287	455.3523585625713	539.3837219870419
2021-01-25	494.02659258702164	452.47281953578755	538.0247632188983
