date	est	q025	q975
2020-10-23	269.22500908828744	256.5049544049363	282.5758499937713
2020-10-24	277.8337268089874	265.6364013278281	290.5911214228021
2020-10-25	286.70482930703344	275.0518028957383	298.8515555345549
2020-10-26	295.8247130922302	284.72878762929986	307.3530485088712
2020-10-27	305.16903307218894	294.6307297697875	316.084268667363
2020-10-28	314.7031155275307	304.70687583810883	325.02729270655965
2020-10-29	324.3826018558672	314.8931051107057	334.1580704023001
2020-10-30	334.1543555448238	325.11369314216876	343.4464179297091
2020-10-31	343.9576558199324	335.2844903001446	352.8551794663556
2020-11-01	353.7256874826589	345.31772586674526	362.3383701807505
2020-11-02	363.38673293392935	355.12747613700486	371.83807659380113
2020-11-03	372.86432948687786	364.63388251407576	381.280552550769
2020-11-04	382.0810671533918	373.76871941256417	390.5782755349735
2020-11-05	390.9615538849275	382.47696574469563	399.6343578978963
2020-11-06	399.4348851209451	390.7153977595117	408.3489628678155
2020-11-07	407.43706747475045	398.45034446698776	416.62647870085635
2020-11-08	414.913285933578	405.6560016577643	424.3818263274153
2020-11-09	421.8199060315372	412.31381070088446	431.5451690109326
2020-11-10	428.12611311811514	418.4126986983509	438.06502360906364
2020-11-11	433.8151094596505	423.94972888281416	443.9100590803975
2020-11-12	438.8848149487992	428.930766121236	449.06986396540805
2020-11-13	443.34804640215367	433.3709129858024	453.5548749554532
2020-11-14	447.2321810902768	437.2946099558819	457.3955846904803
2020-11-15	450.5783394434676	440.7353928140541	460.64110866922607
2020-11-16	453.4401472233526	443.7353668262182	463.35717746487114
2020-11-17	455.88215679257354	446.34450008843953	465.6236177227882
2020-11-18	457.978019151666	448.61986001337243	467.53138842277673
2020-11-19	459.80850268534067	450.6249110030016	469.1792530314123
2020-11-20	461.45945143287895	452.4289460023728	470.6702062241984
2020-11-21	463.01976621700777	454.1066334015574	472.10784458652495
2020-11-22	464.57947767342546	455.7375413845372	473.5929597101124
2020-11-23	466.2279629091263	457.4054088390787	475.22068868859134
2020-11-24	468.05233900433535	459.1969369883719	477.0785133807998
2020-11-25	470.1360485196034	461.20000954117444	479.24522884879565
2020-11-26	472.5576359422559	463.50145344560804	481.7907638202028
2020-11-27	475.3897006080428	466.1846105674174	484.77655057968104
2020-11-28	478.6980016900491	469.3270199594025	488.25609239772353
2020-11-29	482.54068463947027	472.99842077720035	492.2754540062354
2020-11-30	486.9675959919539	477.2591511396639	496.8735308268349
2020-12-01	492.01965450481214	482.1589083486599	502.08206511862016
2020-12-02	497.72825081020727	487.7357800579573	507.92544197834036
2020-12-03	504.1146547130823	494.0154486691425	514.4203198120836
2020-12-04	511.18941843035435	501.01049395521136	521.5751459659537
2020-12-05	518.9517749203409	508.71975536677667	529.3895938812212
2020-12-06	527.3890424016369	517.1277559134528	537.8539420186628
2020-12-07	536.4760585581975	526.2042290547204	546.9484004778102
2020-12-08	546.1746800404037	535.9038253101536	556.642380644685
2020-12-09	556.4333938703776	546.1661014245545	566.8936995660033
2020-12-10	567.1870963218497	556.9159037527646	577.6477203582
2020-12-11	578.3571007835436	568.064238445459	588.8364614222442
2020-12-12	589.851438039343	579.5096660557379	600.377766474765
2020-12-13	601.565509405065	591.1401715930134	612.1747082939277
2020-12-14	613.383144556049	602.8353678915041	624.1154750780663
2020-12-15	625.1781013118984	614.4688326389874	636.074016449881
2020-12-16	636.8160242460485	625.9103937136024	647.9116704396895
