date	est	q025	q975
2020-10-23	249.08900226732922	236.70300848888505	262.12311979738536
2020-10-24	260.1131931508109	248.15697524079988	272.64546235485847
2020-10-25	271.60088225181994	260.1093935348736	283.6000585656542
2020-10-26	283.53006849834526	272.52885452433406	294.975370160294
2020-10-27	295.85682087769254	285.35708510223844	306.74289523420845
2020-10-28	308.51526660245486	298.5082637519627	318.8577379079609
2020-10-29	321.41824782501317	311.86969632522215	331.25914845913326
2020-10-30	334.4587989537503	325.30463893460836	343.8705594975281
2020-10-31	347.51256616781205	338.6580843039129	356.59855542135244
2020-11-01	360.4412357118027	351.7657768448596	369.330653955997
2020-11-02	373.0954096619946	364.46384079409944	381.93139930578593
2020-11-03	385.314869456	376.59451344799396	394.23715248681395
2020-11-04	396.9386057617647	388.0168499552063	406.0655014396483
2020-11-05	407.8128722399546	398.610476826176	417.2277158613814
2020-11-06	417.79789922702395	408.2753885395508	427.54251051702767
2020-11-07	426.77428828370097	416.93168447179306	436.84924874636556
2020-11-08	434.6486559263267	424.52044346378165	445.0185073706118
2020-11-09	441.3581330240884	431.0055066638876	451.95942644514304
2020-11-10	446.87340811939055	436.37534662753063	457.6240258015545
2020-11-11	451.2001195129558	440.64427883352334	462.0088303141665
2020-11-12	454.37853818756986	443.8525895898876	465.154109287136
2020-11-13	456.48162432544297	446.06546498617996	467.1410133784976
2020-11-14	457.6116669716798	447.37083892455433	468.08691923684984
2020-11-15	457.8958147059248	447.87643447555683	468.139337071206
2020-11-16	457.4808653319104	447.7063603303914	467.46877125083927
2020-11-17	456.52770096791204	446.99763900758694	466.2609453906083
2020-11-18	455.2057339047541	445.89696989938284	464.7088322365669
2020-11-19	453.6876754504588	444.5578592897026	463.0049892369738
2020-11-20	452.1448650352687	443.13801614737173	461.3347795233475
2020-11-21	450.7433114980473	441.79672378572695	459.8710717437635
2020-11-22	449.6405133384263	440.69189168930143	458.7708443199199
2020-11-23	448.9830483435915	439.9767140747418	458.1737424986976
2020-11-24	448.9048611667754	439.7961756853404	458.2021980185194
2020-11-25	449.5261330828917	440.2838263211159	458.9624515915729
2020-11-26	450.9525917568937	441.55918317777036	460.545828871117
2020-11-27	453.2751091093561	443.72589422218846	463.02982812902684
2020-11-28	456.5694398623425	446.8705654031577	466.47881859962894
2020-11-29	460.8959693100759	451.06202124585667	470.94431479632294
2020-11-30	466.2993635851566	456.3507437930488	476.46486707278603
2020-12-01	472.80804686568524	462.7682826750073	483.0656238771161
2020-12-02	480.4334657248367	470.3265102752073	490.75761188396075
2020-12-03	489.16913965021627	479.0166865885615	499.53676747729133
2020-12-04	498.9895372725393	488.8083880486321	509.38274464040194
2020-12-05	509.84885851070084	499.6484386812662	520.2575218902831
2020-12-06	521.6798417017978	511.46005411081524	532.103836948032
2020-12-07	534.3927492551435	524.1424561725996	544.843500260988
